,date,visitor_team,visitor_team_points,home_team,home_team_points,attendance,arena
9864,20211202,Chicago Bulls,119,New York Knicks,115,"19,812",Madison Square Garden (IV)
9865,20211202,Milwaukee Bucks,93,Toronto Raptors,97,"19,800",Scotiabank Arena
9866,20211202,Oklahoma City Thunder,79,Memphis Grizzlies,152,"13,103",FedEx Forum
9867,20211202,Detroit Pistons,103,Phoenix Suns,114,0,Phoenix Suns Arena
9868,20211202,San Antonio Spurs,114,Portland Trail Blazers,83,"16,143",Moda Center
9869,20211203,Miami Heat,113,Indiana Pacers,104,"13,854",Gainbridge Fieldhouse
9870,20211203,Cleveland Cavaliers,116,Washington Wizards,101,"17,227",Capital One Arena
9871,20211203,Philadelphia 76ers,98,Atlanta Hawks,96,"17,092",State Farm Arena
9872,20211203,Minnesota Timberwolves,105,Brooklyn Nets,110,"17,732",Barclays Center
9873,20211203,Orlando Magic,116,Houston Rockets,118,"13,697",Toyota Center
9874,20211203,New Orleans Pelicans,107,Dallas Mavericks,91,"19,218",American Airlines Center
9875,20211203,Boston Celtics,130,Utah Jazz,137,"18,306",Vivint Smart Home Arena
9876,20211203,Phoenix Suns,96,Golden State Warriors,118,"18,064",Chase Center
9877,20211203,Los Angeles Clippers,119,Los Angeles Lakers,115,"18,997",Crypto.com Arena
9878,20211204,Denver Nuggets,113,New York Knicks,99,"18,272",Madison Square Garden (IV)
9879,20211204,Chicago Bulls,111,Brooklyn Nets,107,"18,116",Barclays Center
9880,20211204,Miami Heat,102,Milwaukee Bucks,124,"17,341",Fiserv Forum
9881,20211204,Memphis Grizzlies,97,Dallas Mavericks,90,"19,396",American Airlines Center
9882,20211204,San Antonio Spurs,112,Golden State Warriors,107,"18,064",Chase Center
9883,20211204,Boston Celtics,145,Portland Trail Blazers,117,"18,193",Moda Center
9884,20211204,Los Angeles Clippers,99,Sacramento Kings,104,"15,004",Golden 1 Center
9885,20211205,Utah Jazz,109,Cleveland Cavaliers,108,"18,113",Rocket Mortgage Fieldhouse
9886,20211205,Charlotte Hornets,130,Atlanta Hawks,127,"16,383",State Farm Arena
9887,20211205,Washington Wizards,90,Toronto Raptors,102,"19,800",Scotiabank Arena
9888,20211205,New Orleans Pelicans,108,Houston Rockets,118,"14,771",Toyota Center
9889,20211206,Philadelphia 76ers,127,Charlotte Hornets,124,"14,462",Spectrum Center
9890,20211206,Oklahoma City Thunder,114,Detroit Pistons,103,"10,522",Little Caesars Arena
9891,20211206,Washington Wizards,110,Indiana Pacers,116,"12,581",Gainbridge Fieldhouse
9892,20211206,Memphis Grizzlies,105,Miami Heat,90,"19,600",FTX Arena
9893,20211206,Denver Nuggets,97,Chicago Bulls,109,"21,236",United Center
9894,20211206,Cleveland Cavaliers,104,Milwaukee Bucks,112,"17,341",Fiserv Forum
9895,20211206,Atlanta Hawks,121,Minnesota Timberwolves,110,"15,736",Target Center
9896,20211206,San Antonio Spurs,104,Phoenix Suns,108,"15,292",Phoenix Suns Arena
9897,20211206,Orlando Magic,95,Golden State Warriors,126,"18,064",Chase Center
9898,20211206,Los Angeles Clippers,102,Portland Trail Blazers,90,"15,865",Moda Center
9899,20211207,Brooklyn Nets,102,Dallas Mavericks,99,"19,559",American Airlines Center
9900,20211207,New York Knicks,121,San Antonio Spurs,109,"14,698",AT&T Center
9901,20211207,Boston Celtics,102,Los Angeles Lakers,117,"18,997",Crypto.com Arena
9902,20211208,Philadelphia 76ers,110,Charlotte Hornets,106,"15,709",Spectrum Center
9903,20211208,Chicago Bulls,92,Cleveland Cavaliers,115,"17,707",Rocket Mortgage Fieldhouse
9904,20211208,Washington Wizards,119,Detroit Pistons,116,"10,499",Little Caesars Arena
9905,20211208,New York Knicks,102,Indiana Pacers,122,"13,167",Gainbridge Fieldhouse
9906,20211208,Milwaukee Bucks,104,Miami Heat,113,"19,600",FTX Arena
9907,20211208,Oklahoma City Thunder,110,Toronto Raptors,109,"19,800",Scotiabank Arena
9908,20211208,Brooklyn Nets,104,Houston Rockets,114,"15,834",Toyota Center
9909,20211208,Dallas Mavericks,104,Memphis Grizzlies,96,"14,025",FedEx Forum
9910,20211208,Utah Jazz,136,Minnesota Timberwolves,104,"15,181",Target Center
9911,20211208,Denver Nuggets,120,New Orleans Pelicans,114,"15,035",Smoothie King Center
9912,20211208,Portland Trail Blazers,94,Golden State Warriors,104,"18,064",Chase Center
9913,20211208,Orlando Magic,130,Sacramento Kings,142,"14,364",Golden 1 Center
9914,20211208,Boston Celtics,111,Los Angeles Clippers,114,"17,064",Crypto.com Arena
9915,20211209,Utah Jazz,118,Philadelphia 76ers,96,"20,272",Wells Fargo Center
9916,20211209,Los Angeles Lakers,95,Memphis Grizzlies,108,"16,334",FedEx Forum
9917,20211209,Denver Nuggets,111,San Antonio Spurs,123,"12,855",AT&T Center
9918,20211210,Sacramento Kings,123,Charlotte Hornets,124,"16,335",Spectrum Center
9919,20211210,Dallas Mavericks,93,Indiana Pacers,106,"12,618",Gainbridge Fieldhouse
9920,20211210,Brooklyn Nets,113,Atlanta Hawks,105,"17,074",State Farm Arena
9921,20211210,New York Knicks,87,Toronto Raptors,90,"19,800",Scotiabank Arena
9922,20211210,Milwaukee Bucks,123,Houston Rockets,114,"16,319",Toyota Center
9923,20211210,Cleveland Cavaliers,123,Minnesota Timberwolves,106,"15,694",Target Center
9924,20211210,Detroit Pistons,93,New Orleans Pelicans,109,"15,828",Smoothie King Center
9925,20211210,Los Angeles Lakers,116,Oklahoma City Thunder,95,"16,523",Paycom Center
9926,20211210,Boston Celtics,90,Phoenix Suns,111,"17,071",Phoenix Suns Arena
9927,20211211,Orlando Magic,104,Los Angeles Clippers,106,"17,156",Crypto.com Arena
9928,20211211,Utah Jazz,123,Washington Wizards,98,"17,575",Capital One Arena
9929,20211211,Sacramento Kings,103,Cleveland Cavaliers,117,"19,432",Rocket Mortgage Fieldhouse
9930,20211211,Houston Rockets,106,Memphis Grizzlies,113,"17,794",FedEx Forum
9931,20211211,Chicago Bulls,92,Miami Heat,118,"19,731",FTX Arena
9932,20211211,Golden State Warriors,93,Philadelphia 76ers,102,"21,016",Wells Fargo Center
9933,20211211,Denver Nuggets,127,San Antonio Spurs,112,"14,607",AT&T Center
9934,20211212,Milwaukee Bucks,112,New York Knicks,97,"19,812",Madison Square Garden (IV)
9935,20211212,Brooklyn Nets,116,Detroit Pistons,104,"15,289",Little Caesars Arena
9936,20211212,Dallas Mavericks,103,Oklahoma City Thunder,84,"15,747",Paycom Center
9937,20211212,New Orleans Pelicans,97,San Antonio Spurs,112,"14,990",AT&T Center
9938,20211212,Minnesota Timberwolves,116,Portland Trail Blazers,111,"16,591",Moda Center
9939,20211212,Orlando Magic,94,Los Angeles Lakers,106,"18,997",Crypto.com Arena
9940,20211213,Miami Heat,94,Cleveland Cavaliers,105,"17,401",Rocket Mortgage Fieldhouse
9941,20211213,Golden State Warriors,102,Indiana Pacers,100,"17,018",Gainbridge Fieldhouse
9942,20211213,Sacramento Kings,101,Toronto Raptors,124,"19,463",Scotiabank Arena
9943,20211213,Houston Rockets,132,Atlanta Hawks,126,"14,456",State Farm Arena
9944,20211213,Milwaukee Bucks,103,Boston Celtics,117,"19,156",TD Garden
9945,20211213,Philadelphia 76ers,91,Memphis Grizzlies,126,"13,420",FedEx Forum
9946,20211213,Charlotte Hornets,96,Dallas Mavericks,120,"19,213",American Airlines Center
9947,20211213,Washington Wizards,107,Denver Nuggets,113,"14,632",Ball Arena
9948,20211213,Phoenix Suns,95,Los Angeles Clippers,111,"17,909",Crypto.com Arena
9949,20211214,Toronto Raptors,129,Brooklyn Nets,131,"17,325",Barclays Center
9950,20211214,Golden State Warriors,105,New York Knicks,96,"19,812",Madison Square Garden (IV)
9951,20211214,Phoenix Suns,111,Portland Trail Blazers,107,"16,184",Moda Center
9952,20211215,Houston Rockets,89,Cleveland Cavaliers,124,"17,131",Rocket Mortgage Fieldhouse
9953,20211215,Atlanta Hawks,111,Orlando Magic,99,"13,576",Amway Center
9954,20211215,Miami Heat,101,Philadelphia 76ers,96,"20,389",Wells Fargo Center
9955,20211215,Los Angeles Lakers,107,Dallas Mavericks,104,"20,270",American Airlines Center
9956,20211215,Indiana Pacers,99,Milwaukee Bucks,114,"17,341",Fiserv Forum
9957,20211215,New Orleans Pelicans,113,Oklahoma City Thunder,110,"13,253",Paycom Center
9958,20211215,Charlotte Hornets,131,San Antonio Spurs,115,"14,354",AT&T Center
9959,20211215,Minnesota Timberwolves,124,Denver Nuggets,107,"15,365",Ball Arena
9960,20211215,Memphis Grizzlies,113,Portland Trail Blazers,103,"15,773",Moda Center
9961,20211215,Washington Wizards,105,Sacramento Kings,119,"13,806",Golden 1 Center
9962,20211215,Los Angeles Clippers,103,Utah Jazz,124,"18,306",Vivint Smart Home Arena
9963,20211216,Detroit Pistons,113,Indiana Pacers,122,"13,596",Gainbridge Fieldhouse
9964,20211216,Philadelphia 76ers,105,Brooklyn Nets,114,"17,053",Barclays Center
9965,20211216,New York Knicks,116,Houston Rockets,103,"13,857",Toyota Center
9966,20211216,Washington Wizards,98,Phoenix Suns,118,"16,177",Phoenix Suns Arena
9967,20211217,Miami Heat,115,Orlando Magic,105,"14,103",Amway Center
9968,20211217,Denver Nuggets,133,Atlanta Hawks,115,"16,114",State Farm Arena
9969,20211217,Golden State Warriors,111,Boston Celtics,107,"19,156",TD Garden
9970,20211217,Milwaukee Bucks,112,New Orleans Pelicans,116,"15,504",Smoothie King Center
9971,20211217,San Antonio Spurs,128,Utah Jazz,126,"18,306",Vivint Smart Home Arena
9972,20211217,Los Angeles Lakers,92,Minnesota Timberwolves,110,"17,136",Target Center
9973,20211217,Charlotte Hornets,116,Portland Trail Blazers,125,"18,399",Moda Center
9974,20211217,Memphis Grizzlies,124,Sacramento Kings,105,"14,659",Golden 1 Center
9975,20211218,Houston Rockets,116,Detroit Pistons,107,"13,722",Little Caesars Arena
9976,20211218,New York Knicks,107,Boston Celtics,114,"19,156",TD Garden
9977,20211218,Orlando Magic,100,Brooklyn Nets,93,"16,292",Barclays Center
9978,20211218,Golden State Warriors,100,Toronto Raptors,119,"7,988",Scotiabank Arena
9979,20211218,Los Angeles Clippers,103,Oklahoma City Thunder,104,"15,123",Paycom Center
9980,20211218,Cleveland Cavaliers,119,Milwaukee Bucks,90,"17,341",Fiserv Forum
9981,20211218,Washington Wizards,109,Utah Jazz,103,"18,306",Vivint Smart Home Arena
9982,20211219,Miami Heat,90,Detroit Pistons,100,"15,188",Little Caesars Arena
9983,20211219,Portland Trail Blazers,105,Memphis Grizzlies,100,"15,977",FedEx Forum
9984,20211219,San Antonio Spurs,114,Sacramento Kings,121,"15,091",Golden 1 Center
9985,20211219,Los Angeles Lakers,110,Chicago Bulls,115,"21,560",United Center
9986,20211219,Dallas Mavericks,105,Minnesota Timberwolves,111,"16,127",Target Center
9987,20211219,Charlotte Hornets,106,Phoenix Suns,137,"17,071",Phoenix Suns Arena
9988,20211220,Philadelphia 76ers,108,Boston Celtics,103,"19,156",TD Garden
9989,20211220,Houston Rockets,118,Chicago Bulls,133,"21,150",United Center
9990,20211220,Oklahoma City Thunder,102,Memphis Grizzlies,99,"15,721",FedEx Forum
9991,20211220,Charlotte Hornets,102,Utah Jazz,112,"18,306",Vivint Smart Home Arena
9992,20211220,Sacramento Kings,98,Golden State Warriors,113,"18,064",Chase Center
9993,20211220,San Antonio Spurs,116,Los Angeles Clippers,92,"18,096",Crypto.com Arena
9994,20211221,Indiana Pacers,96,Miami Heat,125,"19,600",FTX Arena
9995,20211221,Detroit Pistons,91,New York Knicks,105,"17,906",Madison Square Garden (IV)
